#Depth	Raw_Count	Unique_Kmers
1	5020256592	5020256592
2	306092172	153046086
3	67786483	22595494
4	35719938	8929985
5	28217595	5643519
6	24961068	4160178
7	23907177	3415311
8	24046123	3005765
9	25040398	2782266
10	26569832	2656983
11	28480033	2589094
12	30892984	2574415
13	33594138	2584164
14	36629230	2616374
15	40048120	2669875
16	43802803	2737675
17	48003314	2823724
18	52585279	2921404
19	57823766	3043356
20	63772090	3188605
21	70263552	3345883
22	77820926	3537315
23	86569962	3763911
24	96407013	4016959
25	107825793	4313032
26	120649455	4640364
27	135528059	5019558
28	152355207	5441257
29	170880215	5892421
30	191483951	6382798
31	214216804	6910219
32	239657194	7489287
33	266651105	8080337
34	296677378	8725805
35	328820636	9394875
36	363511629	10097545
37	400901951	10835188
38	441949874	11630260
39	485838014	12457385
40	532504038	13312601
41	582464082	14206441
42	635778122	15137574
43	692810644	16111875
44	752834743	17109881
45	815395373	18119897
46	880623689	19143993
47	949076717	20193122
48	1018402267	21216714
49	1089816603	22241155
50	1163335460	23266709
51	1236065282	24236574
52	1309204344	25177007
53	1380529536	26047727
54	1447334451	26802490
55	1508893130	27434421
56	1558978472	27838901
57	1597060319	28018602
58	1615492766	27853324
59	1610239599	27292197
60	1575091981	26251533
61	1504564737	24664996
62	1409441585	22732929
63	1300241812	20638759
64	1186130252	18533285
65	1073265185	16511772
66	965371378	14626839
67	865950916	12924641
68	776790027	11423383
69	698534708	10123691
70	630769784	9010997
71	572504330	8063441
72	524288701	7281788
73	482634419	6611430
74	448253648	6057482
75	419662988	5595507
76	396921311	5222649
77	377913033	4907961
78	363004294	4653901
79	350248297	4433523
80	339882659	4248533
81	330895415	4085129
82	323001825	3939047
83	316283696	3810647
84	310109218	3691776
85	304592195	3583438
86	299326210	3480537
87	294001526	3379328
88	288568653	3279189
89	283446294	3184790
90	278282408	3092027
91	272539586	2994941
92	267099696	2903258
93	261473382	2811542
94	255354061	2716533
95	249356485	2624805
96	243515334	2536618
97	237238332	2445756
98	231146969	2358643
99	224605735	2268745
100	218142644	2181426
101	211948361	2098499
102	204941860	2009234
103	198408687	1926298
104	192011079	1846260
105	184902533	1760977
106	178004551	1679288
107	170836837	1596606
108	163749345	1516198
109	156760628	1438171
110	149428755	1358443
111	142331888	1282269
112	135503481	1209853
113	128301383	1135410
114	121396527	1064882
115	114355476	994395
116	107389763	925774
117	100867460	862115
118	94225813	798524
119	87904255	738691
120	81931721	682764
