#Depth	Raw_Count	Unique_Kmers
1	9187917463	9187917463
2	832861517	416430759
3	268480652	89493551
4	147239183	36809796
5	98705338	19741068
6	72298013	12049669
7	55986273	7998039
8	45365330	5670666
9	37732149	4192461
10	32369796	3236980
11	28259361	2569033
12	25216926	2101411
13	22903169	1761782
14	21168402	1512029
15	19849965	1323331
16	19014718	1188420
17	18446682	1085099
18	18267454	1014859
19	18326223	964538
20	18669245	933462
21	19346848	921278
22	20267359	921244
23	21508083	935134
24	23152924	964705
25	25181221	1007249
26	27789424	1068824
27	30931711	1145619
28	34914904	1246961
29	39649069	1367209
30	45740344	1524678
31	53361761	1721347
32	62804322	1962635
33	74608074	2260851
34	89089156	2620269
35	107191602	3062617
36	129440571	3595571
37	156188441	4221309
38	188681569	4965304
39	227229513	5826398
40	271960468	6799012
41	323861154	7899053
42	383307045	9126358
43	450404255	10474518
44	524508826	11920655
45	605025551	13445012
46	690668042	15014523
47	781067933	16618467
48	873804831	18204267
49	967054614	19735808
50	1058930694	21178614
51	1146561202	22481592
52	1227576139	23607233
53	1300410041	24536039
54	1361110130	25205743
55	1409194808	25621724
56	1441909605	25748386
57	1459488532	25605062
58	1461144439	25192146
59	1445859518	24506094
60	1416190938	23603182
61	1371654102	22486133
62	1315225295	21213311
63	1247325408	19798816
64	1169901584	18279712
65	1086793431	16719899
66	1000075194	15152654
67	911141094	13599121
68	822367427	12093639
69	735945130	10665871
70	653138084	9330544
71	575731345	8108892
72	504097662	7001356
73	439931892	6026464
74	381814132	5159650
75	331299866	4417332
76	287609918	3784341
77	251620301	3267796
78	222075145	2847117
79	198666263	2514763
80	181025277	2262816
81	168665088	2082285
82	161171985	1965512
83	157865670	1901996
84	158874262	1891360
85	163374318	1922051
86	171280813	1991637
87	181683832	2088320
88	195244056	2218682
89	211214539	2373197
90	229518201	2550202
91	250273129	2750254
92	272700596	2964137
93	297520805	3199148
94	323393196	3440353
95	351553733	3700566
96	381504129	3974001
97	413206030	4259856
98	445575829	4546692
99	479714292	4845599
100	513990456	5139905
101	549006796	5435711
102	583769183	5723227
103	618509053	6004942
104	653446001	6283135
105	686885671	6541768
106	718395325	6777314
107	748901993	6999084
108	776900894	7193527
109	802474220	7362149
110	825386374	7503512
111	845153517	7613996
112	862345997	7699518
113	874626043	7740053
114	882629881	7742367
115	887644697	7718650
116	887941427	7654667
117	885050699	7564536
118	876957620	7431844
119	865408368	7272339
120	849819572	7081830
121	830823110	6866307
122	808746210	6629067
123	782517556	6361931
124	753836302	6079325
125	723637270	5789098
126	691117409	5485059
127	657717771	5178880
128	622269237	4861478
129	586514126	4546621
130	550304217	4233109
131	513497682	3919830
132	478584250	3625638
133	443190397	3332259
134	408955624	3051908
135	375604128	2782253
136	344570045	2533603
137	314593891	2296306
138	286214124	2074015
139	259450304	1866549
140	234837816	1677413
141	212037160	1503810
142	191321581	1347335
143	172580909	1206860
144	155391350	1079107
145	139969349	965306
146	126358707	865471
147	114437047	778483
148	103842673	701640
149	94795220	636210
150	87059434	580396
151	80402650	532468
152	74514450	490227
153	70045581	457814
154	66372615	430991
155	63088452	407022
156	60906379	390426
157	59075841	376279
158	57511833	363999
159	56581692	355860
160	55835457	348972
161	55595416	345313
162	55490297	342533
163	55452973	340202
164	55508198	338465
165	55890856	338732
166	56022481	337485
167	56363904	337508
168	56816445	338193
169	56908200	336735
170	57188260	336402
171	57573685	336688
172	57675723	335324
173	57658903	333288
174	57734682	331809
175	57684137	329624
176	57211843	325067
177	56660137	320114
178	56424937	316994
179	55874567	312148
180	55275268	307085
181	54657093	301973
182	53633014	294687
183	52930150	289236
184	52156099	283457
185	51030526	275841
186	49930691	268445
187	49006849	262069
188	47845941	254500
189	46875548	248019
190	45563889	239810
191	44693187	233996
192	43694767	227577
193	42819028	221860
194	41845213	215697
195	40735852	208902
196	39737178	202741
197	39029775	198121
198	38072491	192285
199	37312069	187498
200	36532768	182664
201	35985288	179031
202	35427474	175384
