#k	31
#unique_kmers	10782340172
#error_kmers	9798915694
#genomic_kmers	983424478
#main_peak	56
#genome_size_in_peaks	1432043910
#genome_size	1933899268
#haploid_genome_size	966949634
#fold_coverage	56
#haploid_fold_coverage	114
#ploidy	2
#het_rate	0.02161
#percent_repeat_in_peaks	10.417
#percent_repeat	47.540
#start	center	stop	max	volume
22	56	84	25748386	647621432
84	114	216	7742367	306085359
216	226	565	159808	19269145
1097	1099	1140	5354	213956
1140	1144	1226	4817	376833
1226	1227	1245	4114	75077
1245	1246	1248	3936	11645
1248	1249	1391	3948	492132
1391	1392	1506	3192	329665
1506	1510	3775	2817	2310481
