ANCSIZE,NPOP1,NPOP2,TDIV,MaxEstLhood,MaxObsLhood,MIGRATE,BOTSIZE,ENDBOT,STARTBOT,NENDBOT,SENDBOT,NSTRTBOT,SSTRTBOT,popset,pruned,model,mig,run,Lhood,k,aic
98087837,980878,980878,506,-Inf,-15518.203,1.01228e-05,491,,,30,410,355,477,ns,pruned,model4,mig,001,Inf,10,Inf
10169073,101690,101690,506,-Inf,-15518.203,,101,,,413,30,480,417,ns,pruned,model4,no_mig,010,Inf,9,Inf
92373592,730946,861872,355,-36107.941,-15518.203,0.0543934,,,,,,,,ns,pruned,model0,mig,005,20589.738,5,166293.213370617
54756849,306659,451678,236,-36096.912,-15518.203,0.06439,,,,,,,,ns,pruned,model0,mig,001,20578.709,5,166242.422948636
39489263,382911,507996,191,-36087.837,-15518.203,0.0386159,,,,,,,,ns,pruned,model0,mig,009,20569.634,5,166200.631029198
110889162,355129,683901,173,-36085.68,-15518.203,0.0482142,,,,,,,,ns,pruned,model0,mig,003,20567.477,5,166190.697677107
86434302,569677,405440,143,-36084.494,-15518.203,0.0681476,,,,,,,,ns,pruned,model0,mig,006,20566.291,5,166185.235945266
67170380,640783,306640,431,-36084.274,-15518.203,0.0274913,,,,,,,,ns,pruned,model0,mig,008,20566.071,5,166184.222807825
57588469,239260,656339,190,-36077.204,-15518.203,0.0332751,,,,,,,,ns,pruned,model0,mig,007,20559.001,5,166151.66425461
71450886,719088,568433,80,-36063.439,-15518.203,0.0250412,,,,,,,,ns,pruned,model0,mig,004,20545.236,5,166088.274087
31174449,260997,349747,440,-36060.347,-15518.203,0.0538641,,,,,,,,ns,pruned,model0,mig,002,20542.144,5,166074.034900785
54823490,268928,762792,406,-36046.681,-15518.203,0.0490803,,,,,,,,ns,pruned,model0,mig,010,20528.478,5,166011.100645023
60066574,418610,435078,340,-35565.144,-15518.203,0.0456405,462,,505,127,184,,,ns,pruned,model3,mig,010,20046.941,9,163801.540809173
36106157,963008,657799,114,-35530.279,-15518.203,0.0338565,393,572,650,,,,,ns,pruned,model1,mig,010,20012.076,8,163638.981550639
70873580,361435,623881,780,-35528.855,-15518.203,0.0157938,323,,910,527,719,,,ns,pruned,model3,mig,006,20010.652,9,163634.423788294
70492512,479325,614130,260,-35508.363,-15518.203,0.0303971,161,625,650,,,,,ns,pruned,model1,mig,001,19990.16,8,163538.054640843
25529919,259790,258410,840,-35478.958,-15518.203,0.045099,510,,938,667,721,,,ns,pruned,model3,mig,008,19960.755,9,163404.639611524
64064215,830408,459217,154,-35465.413,-15518.203,0.0635909,222,265,323,,,,,ns,pruned,model1,mig,005,19947.21,8,163340.262581354
66938848,609443,421626,251,-35463.785,-15518.203,0.0753169,219,842,891,,,,,ns,pruned,model1,mig,007,19945.582,8,163332.765364292
57885607,401553,538992,265,-35442.645,-15518.203,0.0695466,367,398,486,,,,,ns,pruned,model1,mig,008,19924.442,8,163235.41206656
82449604,833963,282783,281,-35435.816,-15518.203,0.073764,339,381,453,,,,,ns,pruned,model1,mig,003,19917.613,8,163203.96335936
54104475,803481,1110922,149,-35429.911,-15518.203,0.061799,437,490,613,,,,,ns,pruned,model1,mig,004,19911.708,8,163176.769829412
62978995,344425,475172,294,-35421.11,-15518.203,0.0186711,375,530,616,,,,,ns,pruned,model1,mig,009,19902.907,8,163136.239726605
51395266,661563,297115,299,-35413.394,-15518.203,0.0543419,303,692,759,,,,,ns,pruned,model1,mig,002,19895.191,8,163100.70623345
44220603,445476,481415,116,-35397.667,-15518.203,0.0131052,262,267,316,,,,,ns,pruned,model1,mig,006,19879.464,8,163028.280721935
43619852,174690,248672,347,-35141.241,-15518.203,,300,431,479,,,,,ns,pruned,model1,no_mig,001,19623.038,7,161845.395351822
76757995,338996,206030,428,-35092.96,-15518.203,,391,466,530,,,,,ns,pruned,model1,no_mig,004,19574.757,7,161623.053130073
86507909,197524,131392,333,-35036.604,-15518.203,,312,428,489,,,,,ns,pruned,model1,no_mig,008,19518.401,7,161363.524159071
47127792,197328,228046,576,-34819.442,-15518.203,,302,629,699,,,,,ns,pruned,model1,no_mig,005,19301.239,7,160363.456191142
65337710,130725,199534,611,-34660.794,-15518.203,,384,645,700,,,,,ns,pruned,model1,no_mig,010,19142.591,7,159632.855151475
74690763,107250,111456,500,-34460.475,-15518.203,,407,549,642,,,,,ns,pruned,model1,no_mig,007,18942.272,7,158710.352064988
69194474,143350,105258,540,-34455.516,-15518.203,,263,554,590,,,,,ns,pruned,model1,no_mig,003,18937.313,7,158687.515026036
55708182,105865,236881,822,-34120.819,-15518.203,,272,1008,1067,,,,,ns,pruned,model1,no_mig,009,18602.616,7,157146.178380296
